latitude,longitude,altitude,geometry,osm_id,name,capacity,amenity,iscedlevel
18.6511683,-72.2770927,,Point,4217589689,Collège Mixte Le Cenacle,,school,
18.6510998,-72.2800826,,Point,4217608214,Paradis Des Petits,,school,
18.6474363,-72.2769817,,Point,4217832561,Institution Classique beauzile,,school,
18.6660569,-72.2367153,,Point,4217961706,College Rayon D'Espoir,,school,
18.6660761,-72.2367052,,Point,4217961707,Ecole Professionelle,,college,
18.668883,-72.2362552,,Point,4218047636,,,school,
18.6569156,-72.2517574,,Point,4219764700,Ecole Nationale de Corail,,school,
18.659727600000004,-72.2485481,,Point,4219777447,Ecole Mission St Thomas,,school,
18.662477,-72.2269534,,Point,4219857376,Nouvel Horizon Des Petits,,kindergarten,
18.6652598,-72.2884752,,Point,4221745231,Institution Mixte Elohim,,school,
18.6650899,-72.2844207,,Point,4221944370,Centre Educatif Pour La Vie,,school,
18.6648377,-72.2847447,,Point,4221944371,Ecole Vision D'une Reforme,,school,
18.6600102,-72.2873203,,Point,4224028368,Ecole Mixte Frères Unis,,school,
18.6598017,-72.2900594,,Point,4224028370,True Licence Institute,,school,
18.6696855,-72.295058,,Point,4224189352,Ecole Mixte Foyer De Canaan,,school,
18.535303,-72.3320608,,Point,4241596789,Institut de Nursing Rosette Poletti (INUROP) sise au Local de George Marc,,school,
19.366282,-72.5764536,,Point,4271539689,"Le 1 ecol national perisse,lacroix",,school,
19.2226207,-72.621153,,Point,4276586491,Grand salin 1 Foyer divin de Danache,,school,
19.2563467,-72.6896098,,Point,4276586492,Grand salinn 02 ecole baptiste conservatrice de Drouin,,school,
19.2950848,-72.6410476,,Point,4276927390,DEZ 3 ecole national de desdune,,school,
19.2928536,-72.6504084,,Point,4276927392,Lycee National de Desdunes,,school,
19.229584,-72.6557538,,Point,4276927393,Grand salinn 01 ecole na de chevrou lombard,,school,
19.3182025,-72.5900237,,Point,4276967289,Le 2 ecole national mapou,,school,
19.3162916,-72.6035863,,Point,4276967389,LE 3,,school,
19.3223812,-72.6458901,,Point,4276967589,Le 5 petite desdune,,school,
19.333375900000004,-72.6613735,,Point,4276967590,LE 6 petit desdune,,school,
19.301301,-72.608841,,Point,4276967591,Le 7 lester ecole,,school,
19.3161031,-72.6702053,,Point,4276967689,dsz 1 ecole national hotte desdune,,school,
19.2846611,-72.6348118,,Point,4276967789,Dez 2 presbyterale ecole,,school,
19.2518464,-72.705723,,Point,4276968189,Grand salinn 03 ecole,,school,
19.2441913,-72.7748373,,Point,4276968190,Grand salinn 4 ecol national,,school,
19.3272829,-72.5944272,,Point,4279213326,,,school,
